Who,Where they work,Intro from,Priority,Amount we want
Ron conway,SV angel,Jason (YC),HIGH,$500K
mike maples jr,Floodgate Fund,Direct,HIGH,$1M
Dr. Pat Grady,Sequoia,Board member,MEDIUM,$5M
alfred lin,sequoia capital,Cold email,MEDIUM,$3M
SARAH TAVEL,BENCHMARK,Twitter DM,LOW,$2M
Josh Kopelman,First Round,Angel investor friend,HIGH,$1M
katie haun,Haun ventures,Crypto contact,MEDIUM,$2M
Charles hudson,Precursor,Founder network,HIGH,$250K
lee fixel,Addition Capital,PE connection,LOW,$10M
Some Random Person,Nobody VC,LinkedIn,LOW,$500K
brianne kimmel,WorkLife,Twitter,MEDIUM,$500K
Steve anderson,Baseline,Direct,HIGH,$1M
Andy rachleff,,Wealthfront connection,LOW,$1M
john curtius,Tiger Global,Hedge fund friend,MEDIUM,$5M
Chris fralic,first round capital,Conference,MEDIUM,$500K
